id,country,cntry,year,mposframe,mcosmopolitan,growth,unemp,N,n_cntry,n_cy
FR-2010,France,FR,2010,0.5906438122513025,0.5458416421451441,1.949437623,8.869999886,416585,16330,2056
FR-2011,France,FR,2011,0.5520028612941423,0.5020326875051668,2.192700633,8.81000042,416585,16330,2053
FR-2012,France,FR,2012,0.5798883044168404,0.5265116879260799,0.313134751,9.399999619,416585,16330,2015
FR-2013,France,FR,2013,0.539161669755389,0.49258091706570606,0.576326675,9.9200000760000009,416585,16330,1019
GB-2004,United Kingdom,GB,2004,0.4620485265038601,0.3799868149189672,2.355629762,4.590000153,416585,21024,2653
GB-2005,United Kingdom,GB,2005,0.4345454799335564,0.36148002832479775,2.59328001,4.75,416585,21024,2667
GB-2006,United Kingdom,GB,2006,0.44871078912618545,0.37542485884711496,2.584104677,5.349999905,416585,21024,1312
GB-2007,United Kingdom,GB,2007,0.4439795757271117,0.3730256791477413,2.269486875,5.260000229,416585,21024,1319
GB-2008,United Kingdom,GB,2008,0.40147085338363075,0.3329501504616271,-0.239638085,5.6199998860000004,416585,21024,2614
GB-2009,United Kingdom,GB,2009,0.4034779355880273,0.3241987794740088,-4.247356266,7.5399999619999996,416585,21024,1308
GB-2010,United Kingdom,GB,2010,0.37534668652787917,0.3228237836322699,2.131438198,7.7899999619999996,416585,21024,2616
GB-2011,United Kingdom,GB,2011,0.35845222012715333,0.30129619839654176,1.457563391,8.039999962,416585,21024,2621
GB-2012,United Kingdom,GB,2012,0.3519810733110848,0.2999051255375518,1.469887521,7.8800001139999996,416585,21024,2609
GB-2013,United Kingdom,GB,2013,0.3928083283255697,0.33442881299203137,1.890018342,7.519999981,416585,21024,1305
GR-2004,Greece,GR,2004,0.6964766585589528,0.5542311636825352,5.060992902,10.31000042,416585,16007,2005
GR-2005,Greece,GR,2005,0.6581699314574314,0.552025468975469,0.59914188,9.989999771,416585,16007,2000
GR-2006,Greece,GR,2006,0.6427797619047619,0.5610115079365079,5.652433708,9.010000229,416585,16007,1000
GR-2007,Greece,GR,2007,0.6807242063492064,0.5899753968253968,3.273746933,8.399999619,416585,16007,1000
GR-2008,Greece,GR,2008,0.6500139069264069,0.5443632575757575,-0.335172558,7.760000229,416585,16007,2000
GR-2009,Greece,GR,2009,0.6339210678210678,0.5310915945165945,-4.300733458,9.619999886,416585,16007,1000
GR-2010,Greece,GR,2010,0.5489246031746031,0.4658531746031746,-5.478627432,12.71000004,416585,16007,2000
GR-2011,Greece,GR,2011,0.5224462301587302,0.42941011904761905,-10.14931483,17.86000061,416585,16007,2000
GR-2012,Greece,GR,2012,0.4819436515865087,0.4136952333380905,-7.086696786,24.44000053,416585,16007,2002
GR-2013,Greece,GR,2013,0.46644906204906206,0.3925771645021645,-2.515997222,27.46999931,416585,16007,1000
HU-2004,Hungary,HU,2004,0.6689384032579299,0.519646469572505,5.000448324,5.829999924,416585,15215,1014
HU-2005,Hungary,HU,2005,0.6443114468561341,0.5172816081083211,4.295278477,7.190000057,416585,15215,2014
HU-2006,Hungary,HU,2006,0.667646280734516,0.5412040927482104,3.947769723,7.489999771,416585,15215,1020
HU-2007,Hungary,HU,2007,0.6313213790847986,0.5417673970606376,0.276980757,7.409999847,416585,15215,1006
HU-2008,Hungary,HU,2008,0.6189191760620332,0.5361735486735487,1.006464779,7.820000172,416585,15215,2002
HU-2009,Hungary,HU,2009,0.6099218230206254,0.5236020023445173,-6.595474129,10.02999973,416585,15215,1002
HU-2010,Hungary,HU,2010,0.6201255453448435,0.5373073888424765,1.083118668,11.17000008,416585,15215,2052
HU-2011,Hungary,HU,2011,0.5799477116021233,0.4825690826058473,1.860155072,11.02999973,416585,15215,2040
HU-2012,Hungary,HU,2012,0.5657402215056778,0.4794889169275823,-1.257749507,11,416585,15215,2038
HU-2013,Hungary,HU,2013,0.6269277136365744,0.5217852119750854,1.806363928,10.18000031,416585,15215,1027
IE-2004,Ireland,IE,2004,0.6732976405015385,0.477173768815448,6.785872817,4.489999771,416585,16076,2001
IE-2005,Ireland,IE,2005,0.6939144726241501,0.49630378581991486,5.73621145,4.340000153,416585,16076,2015
IE-2006,Ireland,IE,2006,0.7323474022377312,0.5370697431514979,4.980502016,4.409999847,416585,16076,1003
IE-2007,Ireland,IE,2007,0.6924436507936508,0.5163952380952381,5.30546835,4.980000019,416585,16076,1000
IE-2008,Ireland,IE,2008,0.6664503424608215,0.5100036939108795,-4.486599314,6.769999981,416585,16076,2004
IE-2009,Ireland,IE,2009,0.6591379148629148,0.501564466089466,-5.100471121,12.60999966,416585,16076,1000
IE-2010,Ireland,IE,2010,0.6299639499540539,0.4809625912050454,1.755080743,14.52999973,416585,16076,2021
IE-2011,Ireland,IE,2011,0.5785293114110848,0.46135963789904677,1.068526654,15.350000380000001,416585,16076,2030
IE-2012,Ireland,IE,2012,0.5620954365079365,0.4330232142857143,-0.052354785,15.44999981,416585,16076,2000
IE-2013,Ireland,IE,2013,0.5324354953097468,0.4253767190892939,1.267014661,13.72999954,416585,16076,1002
IT-2004,Italy,IT,2004,0.7072589933836878,0.5986166346557544,1.423594158,7.8699998860000004,416585,16399,2045
IT-2005,Italy,IT,2005,0.6917520118493172,0.563598794474543,0.817848974,7.730000019,416585,16399,2004
IT-2006,Italy,IT,2006,0.7019,0.5815309523809524,1.790639681,6.78000021,416585,16399,1000
IT-2007,Italy,IT,2007,0.6940582272512965,0.5668234323432343,1.48707298,6.079999924,416585,16399,1010
IT-2008,Italy,IT,2008,0.6284719840888828,0.49945610345274294,-0.962012841,6.71999979,416585,16399,2083
IT-2009,Italy,IT,2009,0.6256159956913963,0.49723119848002034,-5.280937208,7.75,416585,16399,1061
IT-2010,Italy,IT,2010,0.6470043268895247,0.5378724963361016,1.713295839,8.359999657,416585,16399,2047
IT-2011,Italy,IT,2011,0.5989201364926002,0.47150314393068016,0.707333347,8.359999657,416585,16399,2070
IT-2012,Italy,IT,2012,0.5363102913634828,0.43122678149273896,-2.980905768,10.649999619999999,416585,16399,2068
IT-2013,Italy,IT,2013,0.5684431570188246,0.45681001051920933,-1.841065451,12.149999619999999,416585,16399,1011
LT-2004,Lithuania,LT,2004,0.7586378829642303,0.5213061971295504,6.569490118,10.68000031,416585,15248,1002
LT-2005,Lithuania,LT,2005,0.6966128875792741,0.517098693309766,7.732367604,8.319999695,416585,15248,2023
LT-2006,Lithuania,LT,2006,0.7289273642070502,0.5439050890228515,7.414121335,5.78000021,416585,15248,1019
LT-2007,Lithuania,LT,2007,0.7783827610939595,0.6022402313905261,11.10748014,4.25,416585,15248,1018
LT-2008,Lithuania,LT,2008,0.7474276652918386,0.5998728674540682,2.614423033,5.829999924,416585,15248,2032
LT-2009,Lithuania,LT,2009,0.771762203067841,0.6249352362112006,-14.83860837,13.78999996,416585,15248,1011
LT-2010,Lithuania,LT,2010,0.7085056700545831,0.5864216701173223,1.651240653,17.80999947,416585,15248,2024
LT-2011,Lithuania,LT,2011,0.7041239286487825,0.5647950895757913,6.03900816,15.39000034,416585,15248,2052
LT-2012,Lithuania,LT,2012,0.6977821110303937,0.5787031431658517,3.843864749,13.35999966,416585,15248,2038
LT-2013,Lithuania,LT,2013,0.7004692963876638,0.5937862429116073,3.550072843,11.77000046,416585,15248,1029
LU-2004,Luxembourg,LU,2004,0.6349525511657537,0.5180549181218227,4.231891307,5.110000134,416585,8181,1121
LU-2005,Luxembourg,LU,2005,0.6595963263123027,0.5384790094849267,2.482874748,4.489999771,416585,8181,1014
LU-2006,Luxembourg,LU,2006,0.6214827639777938,0.5059445745330438,6.016715044,4.730000019,416585,8181,503
LU-2007,Luxembourg,LU,2007,0.6538771350415186,0.5501191024674391,8.098667607,4.070000172,416585,8181,511
LU-2008,Luxembourg,LU,2008,0.6537468830425873,0.5474997086385698,-0.300176194,5.059999943,416585,8181,1001
LU-2009,Luxembourg,LU,2009,0.6737024753024753,0.5540010878010878,-3.238954027,5.1199998860000004,416585,8181,500
LU-2010,Luxembourg,LU,2010,0.67872028102872894,0.5923369116149076,3.760413593,4.360000134,416585,8181,1018
LU-2011,Luxembourg,LU,2011,0.6942472470250248,0.6076245631801187,1.044298695,4.900000095,416585,8181,999
LU-2012,Luxembourg,LU,2012,0.6611304233702648,0.5920308328385633,1.64990203,5.139999866,416585,8181,1009
LU-2013,Luxembourg,LU,2013,0.6014751694949715,0.5176391979857327,3.171790499,5.849999905,416585,8181,505
LV-2004,Latvia,LV,2004,0.5116853323569741,0.3928296468594976,8.281972087,11.71000004,416585,15138,1005
LV-2005,Latvia,LV,2005,0.5879154089725379,0.4648899359104437,10.71522829,10.02999973,416585,15138,2048
LV-2006,Latvia,LV,2006,0.6620232637914367,0.5590930707581002,11.96520396,7.03000021,416585,15138,1018
LV-2007,Latvia,LV,2007,0.6661729408027532,0.5782601790005542,9.943002121,6.050000191,416585,15138,1013
LV-2008,Latvia,LV,2008,0.5795421701018716,0.48809109215825636,-3.242799942,7.739999771,416585,15138,2010
LV-2009,Latvia,LV,2009,0.637855241897158,0.5535928143712575,-14.24828338,17.51000023,416585,15138,1002
LV-2010,Latvia,LV,2010,0.6285122654015974,0.5553518473882382,-4.470941885,19.47999954,416585,15138,2006
LV-2011,Latvia,LV,2011,0.6201151816107173,0.5406367483376412,2.564422968,16.20999908,416585,15138,2016
LV-2012,Latvia,LV,2012,0.6510842890178866,0.5673918857268708,7.037317185,15.05000019,416585,15138,2018
LV-2013,Latvia,LV,2013,0.6429252605899313,0.5520966004498938,2.010744815,11.86999989,416585,15138,1002
MT-2004,Malta,MT,2004,0.7003576479076479,0.5678606782106782,0.140268127,7.320000172,416585,7500,500
MT-2005,Malta,MT,2005,0.6866469336219336,0.5371205988455988,3.383593576,6.920000076,416585,7500,1000
MT-2006,Malta,MT,2006,0.6611007936507937,0.5197912698412699,2.510142345,6.800000191,416585,7500,500
MT-2007,Malta,MT,2007,0.7086246031746032,0.5881063492063492,4.7747056,6.46999979,416585,7500,500
MT-2008,Malta,MT,2008,0.706440873015873,0.5761420634920635,3.826359416,5.980000019,416585,7500,1000
MT-2009,Malta,MT,2009,0.6965142857142858,0.571952380952381,-1.133873468,6.889999866,416585,7500,500
MT-2010,Malta,MT,2010,0.6691483821733821,0.5488096153846154,5.543639385,6.849999905,416585,7500,1000
MT-2011,Malta,MT,2011,0.6293403735153735,0.5296538073038073,0.467050856,6.3800001139999996,416585,7500,1000
MT-2012,Malta,MT,2012,0.6584224747474747,0.551571608946609,4.117707299,6.199999809,416585,7500,1000
MT-2013,Malta,MT,2013,0.6721444444444444,0.5379730158730158,5.473355695,6.110000134,416585,7500,500
NL-2004,Netherlands,NL,2004,0.5849168448048137,0.48487233121914075,1.984945714,4.650000095,416585,16364,2053
NL-2005,Netherlands,NL,2005,0.6061109912722028,0.5070306491532676,2.050876108,5.8699998860000004,416585,16364,2047
NL-2006,Netherlands,NL,2006,0.6129964986010575,0.5072334228924913,3.460988954,5,416585,16364,1009
NL-2007,Netherlands,NL,2007,0.6221157490235786,0.5040842732864537,3.772842521,4.150000095,416585,16364,1009
NL-2008,Netherlands,NL,2008,0.6585963614782059,0.5383501464913568,2.170324851,3.6500000950000002,416585,16364,2082
NL-2009,Netherlands,NL,2009,0.6688047276663991,0.5419153106472991,-3.666883937,4.349999905,416585,16364,1041
NL-2010,Netherlands,NL,2010,0.626392201185187,0.5251077506679065,1.342739336,4.989999771,416585,16364,2053
NL-2011,Netherlands,NL,2011,0.5965373855898348,0.4913404919342574,1.551189312,4.980000019,416585,16364,2021
NL-2012,Netherlands,NL,2012,0.6139837986361655,0.5166090073634453,-1.030353991,5.820000172,416585,16364,2028
NL-2013,Netherlands,NL,2013,0.5303905257871957,0.45665946851059486,-0.130175288,7.239999771,416585,16364,1021
PL-2004,Poland,PL,2004,0.7017218253968254,0.5940829365079365,4.982825593,19.06999969,416585,15000,1000
PL-2005,Poland,PL,2005,0.690673538961039,0.5900568362193362,3.506849729,17.75,416585,15000,2000
PL-2006,Poland,PL,2006,0.7223599206349206,0.6368484126984127,6.131138073,13.84000015,416585,15000,1000
PL-2007,Poland,PL,2007,0.7726218253968254,0.656979365079365,7.061543459,9.600000381,416585,15000,1000
PL-2008,Poland,PL,2008,0.7320035714285714,0.6341404761904762,4.19996859,7.1199998860000004,416585,15000,2000
PL-2009,Poland,PL,2009,0.7163404761904761,0.6191476190476191,2.832178037,8.1700000760000009,416585,15000,1000
PL-2010,Poland,PL,2010,0.672631105006105,0.5919457722832723,3.740521281,9.640000343,416585,15000,2000
PL-2011,Poland,PL,2011,0.64389136002886,0.5592582251082251,4.757635638,9.630000114,416585,15000,2000
PL-2012,Poland,PL,2012,0.6272938492063492,0.5466892857142858,1.324896305,10.09000015,416585,15000,2000
PL-2013,Poland,PL,2013,0.6377202075702075,0.5655131868131869,1.125763386,10.32999992,416585,15000,1000
PT-2004,Portugal,PT,2004,0.5768149711399712,0.4492387445887446,1.788735682,6.320000172,416585,16144,2000
PT-2005,Portugal,PT,2005,0.5887215954696035,0.48015676361044884,0.781848216,7.579999924,416585,16144,2008
PT-2006,Portugal,PT,2006,0.47978869101623595,0.39959662205171187,1.625034176,7.650000095,416585,16144,1002
PT-2007,Portugal,PT,2007,0.5768769723517498,0.5038846498045311,2.506579646,7.96999979,416585,16144,1011
PT-2008,Portugal,PT,2008,0.5626577584223761,0.45335962970895505,0.319247925,7.550000191,416585,16144,2001
PT-2009,Portugal,PT,2009,0.5372734126984127,0.43527103174603177,-3.12207942,9.430000305,416585,16144,1000
PT-2010,Portugal,PT,2010,0.4988619676945668,0.40471023782330684,1.737625476,10.77000046,416585,16144,2043
PT-2011,Portugal,PT,2011,0.45047205504522575,0.369704501460599,-1.696164781,12.68000031,416585,16144,2050
PT-2012,Portugal,PT,2012,0.42676425631981185,0.3537960023515579,-4.057293608,15.52999973,416585,16144,2025
PT-2013,Portugal,PT,2013,0.42259414722064126,0.35616937013849365,-0.922644675,16.19000053,416585,16144,1004
